temperature_c,humidity_pct,rainfall_mm,stagnant_water,population_density,prior_cases_30d,risk_level
20.1,74.0,70.0,0,945.0,5,1
24.0,61.0,69.0,1,669.0,3,2
23.3,53.0,35.0,0,816.0,6,1
31.5,100.0,125.0,0,2714.0,8,2
33.6,74.0,33.0,0,2461.0,4,2
18.0,64.0,99.0,0,1852.0,5,1
25.0,80.0,111.0,0,1304.0,1,2
22.5,87.0,40.0,0,3283.0,4,2
29.9,46.0,62.0,0,439.0,3,1
27.0,26.0,71.0,0,1668.0,5,2
32.3,71.0,29.0,1,1716.0,2,2
38.4,84.0,85.0,1,2006.0,2,2
14.3,89.0,218.0,0,580.0,1,1
14.3,76.0,110.0,1,1176.0,4,2
27.0,42.0,51.0,1,705.0,4,2
29.5,72.0,110.0,0,525.0,2,2
21.8,78.0,20.0,1,2191.0,3,2
27.4,59.0,39.0,0,2146.0,2,2
28.7,80.0,49.0,0,656.0,2,2
18.9,39.0,196.0,0,779.0,2,0
28.9,96.0,57.0,0,2614.0,5,2
30.9,53.0,76.0,0,2511.0,4,2
27.2,34.0,19.0,0,1225.0,0,1
18.0,50.0,167.0,0,1504.0,6,1
21.2,80.0,59.0,0,2617.0,1,1
29.7,80.0,34.0,0,2389.0,2,2
37.6,68.0,35.0,0,3507.0,1,1
29.5,24.0,89.0,1,777.0,1,2
25.4,45.0,8.0,1,2982.0,5,2
28.1,58.0,109.0,0,1125.0,4,2
25.4,58.0,19.0,1,2071.0,2,2
29.1,42.0,59.0,0,769.0,4,1
29.8,61.0,52.0,0,2354.0,5,2
17.5,84.0,34.0,1,805.0,4,2
34.5,66.0,208.0,0,586.0,3,1
37.4,94.0,157.0,0,1055.0,3,2
19.8,64.0,302.0,0,2014.0,6,2
22.9,94.0,75.0,1,2844.0,3,2
31.4,99.0,47.0,1,1072.0,3,2
25.1,73.0,34.0,0,2508.0,1,2
20.1,68.0,46.0,1,1801.0,3,2
17.5,90.0,63.0,0,4451.0,3,2
26.1,87.0,120.0,1,2194.0,3,2
19.3,59.0,42.0,1,3340.0,2,1
30.4,59.0,47.0,0,637.0,5,2
27.1,74.0,42.0,1,967.0,1,2
37.5,40.0,16.0,1,1332.0,1,0
34.1,74.0,60.0,0,1246.0,3,1
26.7,66.0,6.0,1,3804.0,3,2
34.0,43.0,27.0,0,1579.0,5,0
23.2,57.0,95.0,0,1185.0,2,1
22.4,75.0,55.0,0,3583.0,2,2
34.6,61.0,50.0,0,2667.0,4,1
38.6,71.0,116.0,1,308.0,5,2
33.6,79.0,63.0,0,1450.0,4,2
19.8,96.0,46.0,1,1518.0,2,2
19.4,58.0,98.0,1,547.0,2,1
31.3,63.0,42.0,0,141.0,2,1
21.6,68.0,16.0,0,2863.0,3,1
21.9,100.0,44.0,0,392.0,3,1
26.0,86.0,55.0,1,1374.0,4,2
23.0,48.0,108.0,1,414.0,1,1
38.3,36.0,72.0,0,1384.0,3,0
37.1,91.0,139.0,1,1190.0,5,2
36.8,69.0,19.0,1,926.0,3,1
25.2,94.0,326.0,1,1944.0,1,2
37.5,96.0,148.0,1,682.0,3,2
26.2,56.0,67.0,0,1057.0,3,2
31.4,64.0,36.0,0,2428.0,3,2
31.9,80.0,40.0,1,1777.0,1,2
23.1,49.0,139.0,0,2630.0,0,1
31.9,68.0,53.0,1,647.0,2,2
25.5,62.0,43.0,1,2610.0,4,2
30.5,56.0,93.0,1,2891.0,2,2
22.5,79.0,147.0,0,1776.0,3,2
30.2,64.0,72.0,1,932.0,0,2
31.1,49.0,13.0,0,786.0,1,0
31.5,84.0,49.0,1,793.0,4,2
39.7,88.0,52.0,0,854.0,3,1
35.4,85.0,111.0,0,2820.0,4,2
22.9,54.0,119.0,1,727.0,3,2
22.1,74.0,28.0,0,2396.0,5,2
33.9,68.0,73.0,0,653.0,4,1
36.0,67.0,74.0,0,1701.0,2,1
13.9,76.0,44.0,0,469.0,1,0
29.6,78.0,22.0,1,475.0,7,2
15.8,97.0,139.0,1,604.0,3,2
30.1,76.0,36.0,0,2116.0,3,2
32.8,73.0,49.0,1,732.0,1,2
27.5,74.0,24.0,1,2098.0,3,2
26.9,99.0,107.0,1,1134.0,6,2
25.5,38.0,59.0,0,1359.0,2,1
30.8,87.0,22.0,1,1160.0,1,2
30.6,77.0,28.0,1,2180.0,0,2
33.1,67.0,41.0,0,638.0,0,1
29.7,73.0,75.0,0,2242.0,1,2
20.1,94.0,35.0,0,4766.0,2,2
16.1,76.0,66.0,1,1140.0,0,1
21.7,77.0,81.0,0,976.0,3,1
26.0,65.0,9.0,1,1082.0,0,2
36.3,83.0,110.0,1,903.0,3,2
32.1,84.0,121.0,0,1230.0,3,2
38.3,26.0,65.0,0,1893.0,0,0
31.1,72.0,55.0,0,924.0,3,2
34.2,100.0,55.0,0,1153.0,7,2
15.9,99.0,12.0,0,1682.0,4,1
18.2,89.0,99.0,0,1611.0,3,1
35.6,67.0,38.0,0,1412.0,3,1
28.1,90.0,159.0,0,895.0,1,2
26.3,72.0,75.0,0,1600.0,5,2
15.9,33.0,111.0,0,1459.0,5,0
31.0,64.0,178.0,0,1500.0,2,2
26.0,37.0,99.0,0,1476.0,2,1
14.6,65.0,45.0,0,1734.0,5,1
31.1,100.0,42.0,1,657.0,0,2
26.1,53.0,39.0,1,1605.0,4,2
25.6,84.0,81.0,1,1539.0,1,2
31.5,38.0,88.0,1,1731.0,4,2
22.7,71.0,28.0,1,135.0,4,2
19.4,34.0,83.0,0,3365.0,3,0
23.2,39.0,142.0,0,1600.0,2,1
32.3,80.0,137.0,0,2142.0,3,2
20.7,62.0,128.0,0,456.0,4,1
27.8,64.0,8.0,1,1349.0,2,2
33.3,65.0,179.0,0,1379.0,5,2
27.4,23.0,34.0,0,992.0,5,1
23.6,56.0,23.0,1,1825.0,3,2
30.6,65.0,99.0,0,1529.0,3,2
26.8,73.0,146.0,0,1603.0,5,2
25.4,12.0,95.0,0,2453.0,3,2
23.1,86.0,60.0,0,2527.0,1,2
27.4,44.0,258.0,1,988.0,3,2
31.8,76.0,32.0,0,580.0,1,1
24.0,67.0,140.0,1,1975.0,0,2
25.9,84.0,48.0,1,1042.0,3,2
32.4,96.0,98.0,0,835.0,1,2
26.6,67.0,123.0,0,2271.0,3,2
26.3,71.0,139.0,1,965.0,4,2
19.0,18.0,65.0,0,2360.0,4,0
27.4,50.0,158.0,0,3246.0,7,2
30.1,46.0,37.0,0,400.0,2,1
25.1,64.0,55.0,0,3976.0,5,2
28.2,64.0,61.0,0,1912.0,4,2
24.3,63.0,42.0,1,659.0,2,2
18.0,71.0,54.0,1,740.0,1,1
14.9,100.0,34.0,1,3247.0,6,2
32.6,81.0,17.0,0,1062.0,4,1
38.4,78.0,34.0,0,1431.0,2,0
35.1,66.0,40.0,1,2445.0,4,2
22.4,66.0,82.0,0,1393.0,0,1
32.3,74.0,265.0,1,1450.0,3,2
23.6,66.0,82.0,0,2572.0,3,2
22.3,100.0,60.0,0,1879.0,2,2
34.8,49.0,46.0,0,2353.0,1,0
22.6,79.0,41.0,0,1743.0,2,1
25.4,51.0,8.0,1,2434.0,4,2
25.3,74.0,54.0,0,668.0,6,2
23.0,76.0,21.0,0,346.0,3,1
36.1,74.0,230.0,0,851.0,4,2
35.4,61.0,62.0,0,5831.0,4,2
17.8,41.0,62.0,0,861.0,3,0
29.7,58.0,51.0,0,380.0,0,1
26.1,75.0,41.0,1,1568.0,0,2
22.7,22.0,219.0,1,2543.0,4,2
24.8,73.0,143.0,1,744.0,2,2
28.2,60.0,50.0,0,1580.0,3,2
27.6,40.0,31.0,0,1572.0,2,1
30.6,68.0,22.0,0,1480.0,5,2
31.1,96.0,68.0,0,1640.0,3,2
18.3,88.0,185.0,0,1790.0,4,2
26.2,48.0,182.0,0,3369.0,5,2
25.7,100.0,121.0,0,406.0,3,2
32.1,77.0,25.0,0,1867.0,2,2
13.3,82.0,58.0,0,350.0,4,1
37.6,67.0,64.0,1,1591.0,2,1
26.9,59.0,63.0,1,1714.0,5,2
29.1,33.0,67.0,0,2333.0,2,2
15.8,97.0,94.0,0,478.0,4,1
25.1,73.0,38.0,0,1230.0,2,2
20.4,61.0,61.0,0,746.0,3,0
33.1,88.0,25.0,1,3049.0,2,2
24.0,70.0,107.0,0,1643.0,1,2
26.1,40.0,81.0,0,1310.0,4,2
22.8,65.0,9.0,0,958.0,4,1
21.0,56.0,38.0,1,859.0,3,1
31.3,57.0,21.0,0,4089.0,5,2
21.1,96.0,131.0,0,2634.0,3,2
28.1,76.0,73.0,1,1174.0,7,2
23.8,81.0,54.0,0,1235.0,8,2
29.4,90.0,44.0,0,2486.0,1,2
32.2,80.0,84.0,0,4245.0,1,2
27.6,79.0,62.0,0,2097.0,5,2
32.6,78.0,51.0,0,981.0,4,2
32.4,69.0,187.0,1,149.0,2,2
29.1,69.0,79.0,1,719.0,3,2
28.2,51.0,26.0,0,780.0,4,1
22.1,59.0,75.0,0,442.0,2,1
22.8,72.0,72.0,0,1468.0,2,1
28.6,70.0,7.0,0,2459.0,2,2
22.3,52.0,68.0,0,1661.0,4,1
24.1,62.0,59.0,0,270.0,3,1
31.0,59.0,126.0,0,1226.0,1,2
32.7,90.0,16.0,0,1693.0,0,1
10.0,64.0,18.0,1,561.0,4,1
26.4,57.0,21.0,0,1552.0,2,1
31.8,44.0,92.0,0,934.0,5,1
24.5,43.0,72.0,0,2340.0,2,1
30.7,36.0,13.0,1,1361.0,1,1
30.1,76.0,24.0,0,780.0,4,2
26.5,42.0,26.0,1,2747.0,2,2
23.9,44.0,94.0,0,1430.0,3,1
20.2,21.0,72.0,1,2671.0,4,1
17.7,52.0,47.0,1,3633.0,3,1
27.9,31.0,54.0,0,431.0,0,1
17.6,33.0,25.0,1,1966.0,3,0
31.0,80.0,117.0,0,1224.0,5,2
32.5,65.0,57.0,0,506.0,3,1
32.2,54.0,62.0,1,223.0,3,2
23.5,83.0,131.0,1,1128.0,2,2
33.5,59.0,123.0,0,2934.0,0,1
10.8,39.0,51.0,0,4061.0,4,0
23.3,80.0,44.0,0,2432.0,4,2
15.2,79.0,18.0,1,1250.0,3,1
28.7,48.0,97.0,0,1034.0,5,2
22.7,53.0,79.0,0,1436.0,7,1
20.8,55.0,57.0,0,352.0,1,0
16.8,97.0,74.0,0,2351.0,2,1
28.3,54.0,65.0,0,591.0,2,2
26.0,57.0,95.0,1,1039.0,1,2
22.2,50.0,122.0,0,1242.0,2,1
29.9,49.0,42.0,0,553.0,1,1
22.9,74.0,23.0,0,1642.0,3,1
30.2,92.0,47.0,0,485.0,1,2
18.1,48.0,207.0,1,1709.0,2,1
36.5,16.0,58.0,0,2279.0,0,0
37.4,67.0,44.0,0,4271.0,1,1
23.3,11.0,69.0,1,2451.0,1,1
35.1,59.0,117.0,0,599.0,2,1
23.4,64.0,33.0,0,1127.0,2,1
29.4,35.0,93.0,1,526.0,5,2
14.5,68.0,81.0,0,1538.0,3,1
22.7,61.0,73.0,1,1216.0,1,2
31.5,28.0,75.0,1,981.0,2,2
37.6,46.0,49.0,0,1105.0,4,0
26.1,63.0,104.0,0,1365.0,2,2
19.2,83.0,10.0,1,1292.0,2,1
28.8,52.0,41.0,0,2505.0,2,2
18.5,57.0,49.0,1,1665.0,1,1
21.0,44.0,86.0,0,1494.0,2,0
24.1,68.0,64.0,1,1456.0,3,2
29.5,62.0,36.0,1,1893.0,3,2
21.1,74.0,180.0,0,1615.0,0,1
24.1,51.0,51.0,1,3001.0,1,2
27.8,46.0,187.0,0,988.0,2,2
30.8,57.0,19.0,1,132.0,2,2
18.6,61.0,42.0,0,587.0,4,0
23.9,70.0,63.0,0,965.0,2,2
27.5,75.0,74.0,1,1254.0,3,2
28.2,72.0,24.0,0,873.0,2,2
28.7,56.0,86.0,0,1121.0,4,2
28.3,85.0,122.0,0,2067.0,2,2
25.3,69.0,16.0,1,1745.0,3,2
32.7,95.0,55.0,0,1001.0,4,2
31.0,77.0,182.0,0,2211.0,4,2
34.1,25.0,79.0,1,1642.0,2,1
23.1,35.0,500.0,0,993.0,1,1
19.7,95.0,65.0,1,1688.0,2,2
25.3,77.0,55.0,1,1909.0,2,2
27.3,66.0,22.0,1,577.0,3,2
28.6,100.0,132.0,1,379.0,2,2
15.6,21.0,2.0,1,250.0,2,0
21.4,46.0,17.0,0,748.0,1,0
22.2,70.0,130.0,0,2716.0,4,2
28.5,59.0,161.0,1,3989.0,3,2
19.0,84.0,125.0,0,2798.0,5,2
29.9,100.0,41.0,1,2268.0,0,2
19.1,81.0,48.0,1,1180.0,3,2
22.1,25.0,156.0,0,3320.0,3,1
20.1,98.0,162.0,0,862.0,7,2
27.8,64.0,59.0,1,1604.0,5,2
30.9,52.0,53.0,0,590.0,2,1
38.5,29.0,30.0,0,891.0,4,0
28.5,66.0,114.0,0,2019.0,2,2
25.3,32.0,17.0,0,741.0,3,0
23.6,49.0,10.0,1,556.0,1,1
27.8,36.0,34.0,0,698.0,3,1
40.1,58.0,9.0,0,1572.0,3,0
21.8,57.0,174.0,0,1473.0,8,2
36.9,41.0,61.0,1,1347.0,3,1
31.0,60.0,120.0,1,2179.0,4,2
22.6,75.0,78.0,0,863.0,2,1
27.0,62.0,60.0,0,2041.0,1,2
16.5,100.0,109.0,0,666.0,3,1
29.7,55.0,143.0,1,1196.0,6,2
20.0,62.0,131.0,0,648.0,2,1
27.2,88.0,147.0,0,1386.0,1,2
26.1,46.0,15.0,0,1989.0,4,1
28.9,78.0,227.0,1,3028.0,2,2
24.0,43.0,35.0,0,312.0,3,0
29.1,51.0,62.0,0,260.0,2,1
24.5,70.0,47.0,0,1262.0,4,2
24.9,49.0,58.0,1,1392.0,1,2
29.5,55.0,142.0,0,2806.0,2,2
18.2,25.0,167.0,0,2230.0,1,0
27.9,98.0,198.0,0,921.0,0,2
22.3,79.0,113.0,1,965.0,1,2
23.0,72.0,59.0,0,336.0,2,1
18.1,52.0,24.0,0,1385.0,5,0
17.5,27.0,62.0,0,1554.0,4,0
23.9,72.0,82.0,0,1633.0,1,2
26.2,72.0,74.0,0,1580.0,3,2
28.4,26.0,32.0,0,283.0,7,1
26.2,35.0,114.0,1,1449.0,1,2
29.3,63.0,84.0,0,708.0,1,2
23.9,71.0,100.0,0,1390.0,4,2
24.3,62.0,120.0,1,1405.0,2,2
35.9,10.0,31.0,0,2353.0,4,0
31.0,68.0,29.0,0,2505.0,2,2
23.0,62.0,24.0,0,2115.0,4,1
24.9,36.0,113.0,0,631.0,5,1
21.0,65.0,168.0,1,1386.0,5,2
34.2,51.0,120.0,0,1549.0,0,0
26.8,22.0,97.0,1,2617.0,3,2
18.8,65.0,40.0,0,617.0,0,0
25.7,83.0,44.0,0,514.0,4,2
18.6,88.0,23.0,0,2929.0,1,1
24.3,81.0,58.0,0,691.0,3,2
26.1,58.0,154.0,0,1163.0,6,2
23.9,51.0,116.0,1,1055.0,3,2
27.8,40.0,19.0,1,1065.0,3,2
28.1,20.0,31.0,1,1188.0,3,2
29.3,67.0,40.0,0,395.0,4,2
30.2,67.0,78.0,1,2287.0,3,2
33.0,56.0,168.0,0,1910.0,2,1
28.9,89.0,169.0,1,458.0,4,2
20.9,85.0,60.0,0,819.0,3,1
34.8,76.0,38.0,1,1845.0,8,2
39.3,50.0,52.0,0,1694.0,4,0
21.0,100.0,246.0,0,1751.0,1,2
21.7,92.0,162.0,1,160.0,2,2
33.0,37.0,57.0,0,2479.0,3,1
32.7,70.0,160.0,0,315.0,1,2
23.9,76.0,40.0,0,2904.0,2,2
17.9,43.0,61.0,0,1946.0,3,0
16.3,80.0,84.0,0,1500.0,2,1
22.7,88.0,92.0,1,1284.0,4,2
34.4,50.0,52.0,1,835.0,4,1
27.5,58.0,16.0,1,907.0,4,2
24.1,76.0,130.0,0,806.0,3,2
35.7,98.0,50.0,1,1735.0,1,2
28.8,76.0,76.0,0,937.0,3,2
24.0,54.0,64.0,0,991.0,1,1
19.2,56.0,115.0,1,822.0,6,2
21.3,72.0,206.0,1,942.0,1,2
35.7,66.0,21.0,0,598.0,2,0
25.5,65.0,52.0,1,3335.0,2,2
17.1,39.0,71.0,0,1220.0,2,0
24.5,69.0,54.0,0,1916.0,3,2
28.7,75.0,70.0,0,1212.0,3,2
26.7,53.0,26.0,0,1867.0,6,2
35.0,75.0,95.0,1,571.0,1,2
32.5,85.0,248.0,0,572.0,4,2
20.8,80.0,43.0,0,386.0,2,1
23.0,92.0,87.0,0,3190.0,1,2
27.6,42.0,152.0,0,684.0,2,2
29.4,76.0,88.0,1,1433.0,3,2
21.8,98.0,197.0,0,2261.0,2,2
31.1,93.0,79.0,1,644.0,3,2
24.0,21.0,40.0,1,3413.0,3,2
30.3,55.0,41.0,1,1840.0,6,2
26.7,69.0,85.0,0,1103.0,5,2
26.7,20.0,75.0,0,631.0,5,1
28.2,72.0,199.0,0,423.0,1,2
28.4,31.0,60.0,1,1531.0,3,2
27.6,57.0,35.0,0,1001.0,2,2
26.6,52.0,99.0,1,262.0,4,2
31.9,53.0,62.0,0,2800.0,2,1
39.9,58.0,59.0,0,550.0,3,0
32.7,23.0,16.0,1,1804.0,4,1
23.9,74.0,108.0,1,1195.0,6,2
32.4,69.0,38.0,0,1300.0,3,1
30.3,73.0,71.0,1,6076.0,1,2
32.6,87.0,66.0,1,2877.0,2,2
29.7,85.0,55.0,1,1884.0,1,2
28.4,65.0,138.0,1,1578.0,3,2
13.6,72.0,30.0,1,1300.0,1,1
23.8,86.0,130.0,1,2135.0,0,2
31.8,44.0,103.0,1,529.0,4,2
34.1,73.0,125.0,1,1025.0,4,2
19.4,43.0,30.0,1,2434.0,2,1
20.4,40.0,25.0,0,499.0,7,0
31.6,51.0,36.0,0,1286.0,2,1
24.7,63.0,88.0,0,671.0,3,2
28.7,73.0,53.0,0,344.0,2,2
29.3,47.0,51.0,0,1944.0,3,2
32.7,91.0,96.0,0,1440.0,7,2
35.5,68.0,130.0,0,1479.0,1,1
21.4,59.0,52.0,1,1134.0,1,1
22.8,56.0,200.0,1,890.0,5,2
33.4,56.0,183.0,0,1041.0,1,1
26.5,43.0,36.0,1,2156.0,1,2
29.1,42.0,44.0,1,1294.0,4,2
19.8,59.0,94.0,1,731.0,2,1
25.7,60.0,28.0,1,805.0,4,2
32.2,78.0,19.0,0,181.0,1,1
29.0,100.0,157.0,0,1734.0,4,2
26.7,72.0,85.0,1,1868.0,3,2
15.6,44.0,155.0,0,2529.0,2,0
18.4,56.0,79.0,1,590.0,2,1
32.8,100.0,58.0,1,421.0,3,2
29.7,100.0,104.0,1,310.0,1,2
29.1,67.0,47.0,0,435.0,4,2
33.1,98.0,93.0,0,1041.0,3,2
29.5,87.0,208.0,1,1424.0,2,2
21.8,74.0,194.0,0,354.0,0,1
28.7,70.0,102.0,0,879.0,1,2
29.0,88.0,104.0,1,3850.0,1,2
27.8,86.0,29.0,1,3423.0,5,2
29.6,41.0,95.0,0,2074.0,2,2
26.1,49.0,160.0,0,2335.0,4,2
25.0,68.0,90.0,0,2971.0,1,2
26.4,58.0,76.0,0,1187.0,4,2
32.5,41.0,10.0,1,1253.0,3,1
37.2,31.0,46.0,1,3143.0,5,1
27.2,55.0,74.0,0,483.0,1,2
31.6,49.0,38.0,0,1748.0,2,1
30.2,83.0,8.0,1,1661.0,3,2
39.4,85.0,182.0,0,1215.0,2,1
37.5,62.0,34.0,0,1394.0,3,0
27.6,78.0,97.0,1,961.0,2,2
24.7,56.0,35.0,0,540.0,2,1
14.8,100.0,27.0,1,1866.0,0,1
28.2,75.0,18.0,0,1618.0,2,2
28.7,83.0,48.0,1,2928.0,2,2
28.0,68.0,197.0,0,3417.0,3,2
28.6,84.0,116.0,1,1099.0,1,2
30.6,90.0,53.0,1,455.0,2,2
26.7,38.0,79.0,0,2434.0,2,2
20.9,77.0,77.0,1,1267.0,1,2
30.1,69.0,167.0,0,2170.0,3,2
27.0,40.0,52.0,1,789.0,2,2
24.0,63.0,74.0,0,1724.0,4,2
39.2,49.0,33.0,0,1010.0,2,0
28.1,83.0,91.0,1,1812.0,3,2
23.8,51.0,128.0,0,1058.0,4,1
30.0,84.0,155.0,1,1640.0,4,2
40.5,55.0,164.0,1,1646.0,2,1
30.5,46.0,41.0,0,1228.0,4,1
24.3,44.0,121.0,0,1148.0,4,1
42.0,95.0,71.0,1,1312.0,5,2
30.5,71.0,123.0,1,1033.0,3,2
30.0,59.0,51.0,0,2434.0,5,2
22.7,91.0,162.0,0,2162.0,3,2
26.9,100.0,199.0,1,257.0,3,2
32.2,52.0,18.0,1,929.0,5,2
31.8,92.0,53.0,1,1369.0,4,2
14.2,61.0,14.0,1,1102.0,2,0
25.1,69.0,91.0,1,1467.0,0,2
28.7,53.0,50.0,1,1330.0,3,2
18.7,73.0,146.0,0,1945.0,2,1
17.2,80.0,107.0,0,3796.0,2,2
33.1,80.0,129.0,0,1499.0,2,2
27.0,49.0,33.0,1,1563.0,1,2
25.0,95.0,121.0,0,1445.0,1,2
25.5,100.0,82.0,1,3187.0,2,2
30.5,80.0,42.0,1,743.0,5,2
30.0,88.0,108.0,0,1530.0,4,2
32.0,35.0,71.0,0,1372.0,4,1
29.3,49.0,128.0,0,2360.0,1,2
31.2,96.0,21.0,0,1969.0,3,2
32.9,90.0,59.0,0,886.0,3,2
35.3,70.0,38.0,0,1290.0,2,1
28.7,58.0,30.0,0,2243.0,3,2
27.1,68.0,193.0,0,5353.0,2,2
35.3,76.0,43.0,1,1927.0,1,2
21.7,87.0,17.0,0,1330.0,4,1
23.1,62.0,84.0,0,2539.0,6,2
31.0,35.0,84.0,0,1276.0,5,1
32.2,72.0,45.0,0,1015.0,4,2
22.8,38.0,16.0,1,1940.0,3,1
29.9,98.0,111.0,1,2292.0,1,2
26.0,80.0,6.0,0,1444.0,5,2
25.2,93.0,41.0,0,2195.0,2,2
27.8,84.0,69.0,0,339.0,7,2
32.1,79.0,209.0,0,2167.0,3,2
33.8,45.0,6.0,0,2467.0,4,0
34.7,56.0,99.0,1,854.0,3,2
29.3,50.0,12.0,0,2945.0,3,2
24.3,57.0,33.0,0,250.0,3,1
26.2,65.0,133.0,1,1657.0,3,2
26.4,51.0,16.0,1,2713.0,3,2
19.9,41.0,130.0,0,3274.0,2,1
20.8,30.0,54.0,0,2417.0,4,0
13.0,44.0,49.0,0,4483.0,4,0
24.3,75.0,78.0,0,272.0,2,2
21.6,66.0,65.0,1,1197.0,7,2
